city;lat;lng;region;population
Muurame;62.1292;25.6722;Keski-Suomi;10097
Alajärvi;63.0000;23.8167;Etelä-Pohjanmaa;10006
Lapinlahti;63.3667;27.3833;Pohjois-Savo;9982
Ii;65.3167;25.3722;Pohjois-Pohjanmaa;9966
Leppävirta;62.4917;27.7875;Pohjois-Savo;9953
Saarijärvi;62.7050;25.2583;Keski-Suomi;9915
Oulunsalo;64.9333;25.4167;Pohjois-Pohjanmaa;9771
Hattula;61.0556;24.3708;Kanta-Häme;9747
Masku;60.5708;22.1000;Varsinais-Suomi;9706
Kauniainen;60.2167;24.7333;Uusimaa;9624
Eurajoki;61.2000;21.7333;Satakunta;9521
Hakkila;60.2869;24.9522;Uusimaa;9509
Orivesi;61.6750;24.3583;Pirkanmaa;9408
Närpes;62.4667;21.3333;Pohjanmaa;9387
Somero;60.6333;23.5167;Varsinais-Suomi;9093
Muhos;64.8000;26.0000;Pohjois-Pohjanmaa;9063
Karkkila;60.5333;24.2167;Uusimaa;8969
Halikko;60.3972;23.0778;Varsinais-Suomi;8879
Hanko;59.8333;22.9667;Uusimaa;8864
Karis;60.0708;23.6625;Uusimaa;8787
Hausjärvi;60.7884;25.0247;Kanta-Häme;8729
Kiuruvesi;63.6500;26.6167;Pohjois-Savo;8600
Pöytyä;60.7167;22.6000;Varsinais-Suomi;8562
Laitila;60.8833;21.7000;Varsinais-Suomi;8520
Keminmaa;65.8014;24.5444;Lappi;8388
Asikkala;61.1722;25.5472;Päijät-Häme;8287
Elimäki;60.7167;26.4500;Kymenlaakso;8264
Loppi;60.7181;24.4417;Kanta-Häme;8175
Laihia;62.9764;22.0111;Pohjanmaa;8090
Toijala;61.1667;23.8667;Pirkanmaa;8060
Nurmes;63.5450;29.1333;Pohjois-Karjala;7996
Jalasjärvi;62.4917;22.7667;Etelä-Pohjanmaa;7885
Mynämäki;60.6833;21.9833;Varsinais-Suomi;7859
Oulainen;64.2667;24.8167;Pohjois-Pohjanmaa;7610
Kokemäki;61.2583;22.3500;Satakunta;7591
Nykarleby;63.5167;22.5333;Pohjanmaa;7564
Haapajärvi;63.7500;25.3167;Pohjois-Pohjanmaa;7438
Suonenjoki;62.6250;27.1250;Pohjois-Savo;7390
Jämsänkoski;61.9181;25.1708;Keski-Suomi;7351
Tyrvää;61.3474;22.9014;Pirkanmaa;7306
Harjavalta;61.3167;22.1336;Satakunta;7296
Pyhäselkä;62.4333;29.9694;Pohjois-Karjala;7208
Ikaalinen;61.7667;23.0667;Pirkanmaa;7207
Haapavesi;64.1417;25.3667;Pohjois-Pohjanmaa;7167
Outokumpu;62.7250;29.0167;Pohjois-Karjala;7139
Virrat;62.2500;23.7667;Pirkanmaa;7002
Iitti;60.8833;26.3333;Kymenlaakso;6910
